,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
7,JM,7078366105676352774,1648060537,Would Skeng and Stalk Ashley make a good couple? #skeng #stalkashley #fyp #viral #dancehall #jamaica,6796653082623378437,Kyng Ceejay Ent,"Dancehall#1️⃣ Fan 
Video Grapher📷🎬
Artistes Performances💥CLICK LINK BELOW🔥",,0,False,https://m.tiktok.com/v/7078366105676352774.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078366105676352774&source=h5_m,405595,938,81,684,22376,7018603204904486914,7018603204904486914,10033,7018603204904486914,Update,Masicka,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8b902da6e76e481882d5bb281c688274,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e41b4e0c0a12435f87cc9d5c21c78da9,False,True,,,,,[],0,0
0,GY,7099619202331430170,1653008909,#fypシ idc idc 🥺,6734744208609854470,🧿QUEEN🧿,"🧿
Virgo ♍️ 
IG:tomikawalkerofficial_25
Dancer by ❤️
Love my followers 🥰😇💟",,0,False,https://m.tiktok.com/v/7099619202331430170.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099619202331430170&source=h5_m,83623,97,18,71,7124,7033449572018096943,7033449572018096943,72,7033449572018096943,Christmas,☠Eric☠,6964068000283214853,☠Eric☠,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7033449649197402927.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ea8d2371a83f3112e9476fea8691ab8.json,False,False,,,,,[],0,0
1,GY,7102476047311981830,1653674071,Outside with the thugs dem #guyana🇬🇾 #viral #jamaica #blacktiktok #foryoupage #foryou #gt #caribbean #guyana #xxprince_vonxx #guyanese_hokage,7025658334612554758,xxPrince.Jayxx,"Guyanese 🇬🇾 
Just here for entertainment
10k is the goal",,0,False,https://m.tiktok.com/v/7102476047311981830.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102476047311981830&source=h5_m,265813,75,570,1399,5449,7102476026697992965,7102476026697992965,72,7102476026697992965,original sound - guyanese_hokage,xxPrince.Jayxx,7025658334612554758,xxPrince.Jayxx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102476009710832389.mp3,,False,False,Brysco,Code,original sound - guyanese_hokage (Contains music from: Code - Brysco),"Contains music from: ""Code""",[],0,0
2,US,7073963658786737450,1647035512,What’s your zodiac sign? ♈️♑️♊️♒️♋️♐️✨ #fyp #foryoupage #zodiacsigns #zodiac #foryou #zodiacsign #fypシ #zodiacs video credz: @Spence Taylor,6781885400984290310,Emmaleannn 🦋,"Follow my insta 🥰🔝
Here to have fun 🌱
• FOLLOW MY UPCOMING YOUTUBE 👇🏽•",,0,False,https://m.tiktok.com/v/7073963658786737450.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073963658786737450&source=h5_m,8300599,18311,26108,23797,1124083,7034848227505572655,7034848227505572655,72,7034848227505572655,original sound - iamspencetaylor,Spence Taylor,6753994701299057669,Spence Taylor,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7034848704570100526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2e5530e1715f63014340ad347613899f.json,False,False,,,,,[],0,0
3,GB,7102962171327384838,1653787257,Stranger things What’s her favourite song 🇯🇲#fyp #strangerthings #season4 #stress #skilibeng,6812326211881370630,Kay,"Sugar 
Follow- funnny purpose only",,0,False,https://m.tiktok.com/v/7102962171327384838.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102962171327384838&source=h5_m,210883,825,829,1994,26629,7091124261821205254,7091124261821205254,72,7091124261821205254,BIG MOOD,💀,7077681250995667973,💀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091124250890832646.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a7cc60fc146b66628df18d57edf32c84.json,False,False,,,,,[],0,0
4,NG,7088297406684482822,1650372849,#fypシ #tekkerzcity #fyppppppppppppppppppppppp #quotes #ynxgrume #dontletthisflop #🅿️ #wildnout #dcyoungfly #laylay #violation,128155837230948352,Ukquotes🗣️X Rap Edits🤝,"Edits😮‍💨
Grinding to 50k💚
Make sure to use #tekkerzcity on your videos",,0,False,https://m.tiktok.com/v/7088297406684482822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088297406684482822&source=h5_m,2633509,869,1231,23167,241966,7088297369598528261,7088297369598528261,72,7088297369598528261,original sound - xtants,Ukquotes🗣️X Rap Edits🤝,128155837230948352,Ukquotes🗣️X Rap Edits🤝,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088297386371566342.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a889a25295330f3a5410bf8e7f4feec.json,False,False,,,,,[],0,0
5,JM,7101807277497126150,1653518362,#fypviral #skillibeng #new_trending #djkhaled #fyp #foryou #album,7048799343454143493,Wang Official,"🙏S.T.A.Y F.O.C.U.S🙏 
SOLID FOREVER 
Spam like blocked 
Stop Badmind 
🖤🖤",,0,False,https://m.tiktok.com/v/7101807277497126150.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101807277497126150&source=h5_m,238665,161,245,20,24244,7073876545902775046,7073876545902775046,10036,7073876545902775046,Whap Whap (feat. F.S.),Skillibeng,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16c8c26b1d7144b184b1b942fc6d0eb4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a76529d24f6f4094a8ae2c40b7ac3db6,False,True,,,,,[],0,0
6,GB,7088648933093788933,1650454696,#jamaicatiktok #skeng #raggae #lofestyle #vodka #jattlife #vibes #fyp #trending,6911551817566831621,Jatt Life👑,"The Ultra-Premium spirits brand
Snapchat & Instagram: 
Jattlifeglobal",,0,False,https://m.tiktok.com/v/7088648933093788933.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088648933093788933&source=h5_m,454621,157,191,805,21357,7000559409566844930,7000559409566844930,10033,7000559409566844930,Gvnman Shift,SKENG,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c1fd2479523e44c0b56c48af894c5920,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/176ab856b45b48cc99715ab12fd7190d,False,True,,,,,[],0,0
7,TT,7080297549030116614,1648510237,Reasons y I don’t post regularly 🤦🏾‍♀️😂,6789551429385651205,Mel_b😘96,"Family🥰
IG melb._07 
YouTube-Melb_96",,0,False,https://m.tiktok.com/v/7080297549030116614.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080297549030116614&source=h5_m,506244,678,114,554,33831,7064760168793262895,7064760168793262895,72,7064760168793262895,Streets X blood sweat tears,🤨,6945976025101239302,🤨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7064760181472791342.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/09e9f49b8594e2ab577d3c8d46534285.json,False,False,BTS,Blood Sweat & Tears,Streets X blood sweat tears (Contains music from: Blood Sweat & Tears - BTS),"Contains music from: ""Blood Sweat & Tears""",[],0,0
0,GY,7082455932126383366,1649012774,Live ur life now or never #foryoupage #onelove #bekind #fyp,6686024314205406214,The real supperstarjess,Facebook @ Jessie Banks,,0,False,https://m.tiktok.com/v/7082455932126383366.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082455932126383366&source=h5_m,231530,577,1177,32,16902,7082455920353102598,7082455920353102598,72,7082455920353102598,original sound - supperstarjess,The real supperstarjess,6686024314205406214,The real supperstarjess,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082455917916474117.mp3,,False,False,,,,,[],0,0
