,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_fyp,hash_fypシ,hash_on,hash_viral,hash_дуэт,hash_казахстан,hash_рек,hash_рекомендации,hash_хочуврек
0,KZ,7078642632968228098,1648124922,Сколько вам лет и с какого вы города?🤔How old are u? Where are u from?👽🤫 #fypシ #рекомендации #fyp #trend,6743549032872428549,Pika Pika Chuuuu💛,"Насчёт сотрудничества писать в Инстаграм
Thanks for ur following, luv u🌸💜",0,False,https://www.tiktok.com/@saykachuu/video/7078642632968228098?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078642632968228098&source=h5_m,38609102,4682,2472,15243,1619171,7078642616513891073,7078642616513891073,72,7078642616513891073,original sound - saykachuu,Pika Pika Chuuuu💛,6.743549032872429e+18,Pika Pika Chuuuu💛,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7078642614915910401.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a27b7bd3c775e11e08265d85e1e06dd1.json,False,False,,,,,[],0,0,Kazakhstan,#fypシ #рекомендации #fyp #trend,0,1,1,0,0,0,0,0,1,0
1,KZ,7096534566688673026,1652290712,#бенземааа,7091873038790394881,sapzirroo,"🎧 SenSiń 
Өмір деген жұтқан сайын тоя алмау,
Ставканы ұтамын деп қоя алмау!",0,False,https://www.tiktok.com/@sapzirroo/video/7096534566688673026?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096534566688673026&source=h5_m,2439328,1990,8591,21969,206628,7096534568538295041,7096534568538295041,72,7096534568538295041,original sound - sapzirroo,sapzirroo,7.091873038790395e+18,sapzirroo,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096534535689194241.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/72b0ae8675bd65fc099d397b0dd4170a.json,False,False,,,,,[],0,0,Kazakhstan,#бенземааа,0,0,0,0,0,0,0,0,0,0
2,AE,7073916038714363138,1647024442,#fahaadk_mask #fahaadk_,6996282462927569922,Fahaadk_mask,Fahaadk_ but he wears his face on his mask,0,False,https://www.tiktok.com/@fahaadk_mask/video/7073916038714363138?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073916038714363138&source=h5_m,48146099,5634,14489,16747,2968584,6932848175548091142,6932848175548091142,72,6932848175548091142,original sound - dailymailusa,Daily Mail,6.739867522710406e+18,Daily Mail,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6932848226265533189.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/70697470cdf4645806d2336695f8ba4a.json,False,False,,,,,[],0,0,Kazakhstan,#fahaadk_mask #fahaadk_,0,0,0,0,0,0,0,0,0,0
3,KG,7080045331987188998,1648451515,Нaзвaние фильма в комментах 😱👉🏻,6935527166060168194,Лучшие фильмы,↘️ ВСЕ НАЗВАНИЯ ФИЛЬМОВ ТУТ ↙️,0,False,https://www.tiktok.com/@tapfilms/video/7080045331987188998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080045331987188998&source=h5_m,17598800,19,8655,418,664712,7080045259253746437,7080045259253746437,72,7080045259253746437,original sound - tapfilms,Лучшие фильмы,6.935527166060168e+18,Лучшие фильмы,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080045299510545157.mp3,,False,False,,,,,[],0,0,Kazakhstan,,0,0,0,0,0,0,0,0,0,0
4,KZ,7100112595314642178,1653123787,#хочуврек,6701246598746522630,aidarrais,Insta: Itsdoni_ar👆🏻,0,False,https://www.tiktok.com/@aidarrais/video/7100112595314642178?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100112595314642178&source=h5_m,1689844,1718,820,2233,206368,7100112584598244097,7100112584598244097,72,7100112584598244097,original sound - aidarrais (Contains music from: Ana - RaiM & Artur),"Contains music from: ""Ana""",6.701246598746523e+18,aidarrais,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100112578604452610.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0c7e889cf899cb37bc598f5acd26a607.json,False,False,RaiM & Artur,Ana,original sound - aidarrais (Contains music from: Ana - RaiM & Artur),"Contains music from: ""Ana""",[],0,0,Kazakhstan,#хочуврек,0,0,0,0,0,0,0,0,0,1
5,KZ,7103472179127340290,1653906001,#врек #математика #math,7089115858488738821,Асет ағай,Төмендегі сілтемеге қосыл.,0,False,https://www.tiktok.com/@aseke_math/video/7103472179127340290?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103472179127340290&source=h5_m,593801,786,4700,179,46438,6964723674083724038,6964723674083724038,72,6964723674083724038,original sound - yassinlabidi4,Abu👑ra9ba,6.893478509755647e+18,Abu👑ra9ba,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6964723807802100486.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/179cfb9cec257bd6e35e212f3866303a.json,False,False,,,,,[],0,0,Kazakhstan,#врек #математика #math,0,0,0,0,0,0,0,0,0,0
6,KG,7098012496258223361,1652634819,@f4team.q 🥰,7070852421391746050,4girls.team,"Goal 2million 🍋
🇰🇬Bishkek/Kyrgyzstan🇰🇬
(единственный аккаунт)",0,False,https://www.tiktok.com/@4girls.team/video/7098012496258223361?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098012496258223361&source=h5_m,6847931,2399,2552,10341,933143,7091508587666606874,7091508587666606874,24,7091508587666606874,GAL (Contains music from: Duck Toy - Sterium),"Contains music from: ""Duck Toy""",6.937908736326092e+18,h s u,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7091508577440926491.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aac676e499e236e9a43f270d11056345.json,False,False,Sterium,Duck Toy,GAL (Contains music from: Duck Toy - Sterium),"Contains music from: ""Duck Toy""",[],0,0,Kazakhstan,,0,0,0,0,0,0,0,0,0,0
7,IT,7103651957306297605,1653947859,I #tortellini con la PANNA! Vi piace la #pasta ? A me fa IMPAZZIRE! Ovviamente questa è la mia VERSIONE #slime #gtcreationslime,6832328024281760773,Giovanni T. 🇮🇹,Per il MIO SHOP cliccate qui sotto,0,False,https://www.tiktok.com/@gtcreationslime/video/7103651957306297605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103651957306297605&source=h5_m,487506,343,176,730,65591,7092395731911215878,7092395731911215878,72,7092395731911215878,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0,0,Kazakhstan,#tortellini #pasta #slime #gtcreationslime,0,0,0,0,0,0,0,0,0,0
0,KZ,7097826189921799426,1652591443,#рек #рекомендации,7027832323387720710,abdymalykovna,"19 years 👩
Buketov university🫀
Shym🔜 Krg",0,False,https://www.tiktok.com/@abdymalykovna/video/7097826189921799426?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097826189921799426&source=h5_m,1575590,744,1459,2419,191345,7078670753947732738,7078670753947732738,24,7078670753947732738,original sound - ostapparfenov,ОСТАП ПАРФЁНОВ💔,6.73363058811465e+18,ОСТАП ПАРФЁНОВ💔,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7078670732724685570.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/84e16bb277860e525543c43302e42010.json,False,False,,,,,[],0,0,Kazakhstan,#рек #рекомендации,0,0,0,0,0,0,0,1,1,0
1,KZ,7099384647041158402,1652954298,#самаясамая  #нурмухаммеджакыпсамаясамая,6982156906233283586,nurmuhammed_ibragim,"Ссылка на новый трек
👇👇👇",0,False,https://www.tiktok.com/@nurmuhammed_ibragim/video/7099384647041158402?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099384647041158402&source=h5_m,3600578,1223,3133,5411,178869,7099384640934267650,7099384640934267650,72,7099384640934267650,original sound - nurmuhammed_ibragim (Contains music from: Самая Самая - Nurmuhammed Jaqyp),"Contains music from: ""Самая Самая""",6.982156906233284e+18,nurmuhammed_ibragim,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099384615386893057.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dd0a85e74ed9468f42f7017f46cfd4fe.json,False,False,Nurmuhammed Jaqyp,Самая Самая,original sound - nurmuhammed_ibragim (Contains music from: Самая Самая - Nurmuhammed Jaqyp),"Contains music from: ""Самая Самая""",[],0,0,Kazakhstan,#самаясамая #нурмухаммеджакыпсамаясамая,0,0,0,0,0,0,0,0,0,0
