,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_crushhousekg,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_viral,hash_дуэт,hash_кыргызстан,hash_рек,hash_рекомендации
6,KG,7096008096580979970,1652168134,#кыргызстан🇰🇬 #россия🇷🇺 #владимирпутин #путин,7034198841004475397,усернэйм,Kyrgyzstan ! Issyk - Kul' !,0,False,https://www.tiktok.com/@user_name_issykkul/video/7096008096580979970?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096008096580979970&source=h5_m,1553480,246,4573,5481,67661,7096008085392198401,7096008085392198401,72,7096008085392198401,original sound - user_name_issykkul,усернэйм,7.034198841004475e+18,усернэйм,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096008059398458114.mp3,,False,False,,,,,[],0,0,Kyrgyzstan,#кыргызстан🇰🇬 #россия🇷🇺 #владимирпутин #путин,0,0,0,0,0,0,0,1,0,0
7,KG,7073547654097112322,1646938654,🕊,6651132566701522950,SHABDANOVAaa,"Instagram: @shabdanova.aidai💌 
Участница : @crushhose_
Kyrgyzstan/Bishkek📍",0,False,https://www.tiktok.com/@shabdanovaaa/video/7073547654097112322?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073547654097112322&source=h5_m,12085742,6581,5606,27914,1566739,7065059417850415873,7065059417850415873,72,7065059417850415873,aze (Contains music from: Drip or Drown Remix (feat. Lil Yachty) - Gunna),"Contains music from: ""Drip or Drown Remix (feat. Lil Yachty)""",6.739487175937803e+18,🇦🇿,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7065059406673562370.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/40324cf0a61e1efdc465654946c5776d.json,False,False,Gunna,Drip or Drown Remix (feat. Lil Yachty),aze (Contains music from: Drip or Drown Remix (feat. Lil Yachty) - Gunna),"Contains music from: ""Drip or Drown Remix (feat. Lil Yachty)""",[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
0,KG,7093723644714618113,1651636243,🇰🇬☑️ #втоп #рек #fyp,7027887211330176001,Semibaev,🇰🇬🇰🇿,0,False,https://www.tiktok.com/@semibaev777/video/7093723644714618113?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093723644714618113&source=h5_m,2089772,638,5371,172,157246,7093723643569621762,7093723643569621762,72,7093723643569621762,original sound - semibaev777 (Contains music from: Ok Ok - Ulukmanapo),"Contains music from: ""Ok Ok""",7.027887211330176e+18,Semibaev,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093723623109724929.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/52ff4da25ec9f7006368e57fd99c3e11.json,False,False,Ulukmanapo,Ok Ok,original sound - semibaev777 (Contains music from: Ok Ok - Ulukmanapo),"Contains music from: ""Ok Ok""",[],0,0,Kyrgyzstan,#втоп #рек #fyp,0,0,0,1,0,0,0,0,1,0
1,KG,7100265795925609730,1653159456,но Пицца у нас стоит 300 сом         Ждём вас😊😋 #пицца #роллысуши,7098371472901997570,sushi_bat,"😋у нас вкусно😋
🤍Амбассадоры вкусной жизни🤍
присоединяйся к нам✨",0,False,https://www.tiktok.com/@sushi_bat1/video/7100265795925609730?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100265795925609730&source=h5_m,255943,55,25,108,8973,7085453726428826370,7085453726428826370,72,7085453726428826370,original sound - rahi.mova7,jasmins,6.869378169792775e+18,jasmins,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085453722532334338.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/21351ff834384a9e012ce8107943442c.json,False,False,,,,,[],0,0,Kyrgyzstan,#пицца #роллысуши,0,0,0,0,0,0,0,0,0,0
2,KG,7091979012460825857,1651230040,Lore with @dstnny22 #lore #gigachad,6891947725971571713,ARGEN,"I will never give up and
I never go back on my word
This is my way🔥
Goal 10.0M",0,False,https://www.tiktok.com/@argenby/video/7091979012460825857?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091979012460825857&source=h5_m,1467277,1138,582,1339,120587,6748275238355601414,6748275238355601414,10033,6748275238355601414,Unravel,TK from Ling tosite sigure,,,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b77efacc555c43b5af5e6a479c3f926e,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/50877aeb16064f37a8bce8971f3dfe2f,False,True,,,,,[],0,0,Kyrgyzstan,#lore #gigachad,0,0,0,0,0,0,0,0,0,0
3,KZ,7103293110423227650,1653864310,#❤️ #💍  скоро той крч бұйырса🙂😁,6968530772315931649,Саған күлген жарасад😁❤️,"Цель_1k новый аккаунт :)
insta:@asylan_o4✔️",0,False,https://www.tiktok.com/@asylan_o1/video/7103293110423227650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103293110423227650&source=h5_m,1036296,360,440,711,36393,7103293066329066242,7103293066329066242,72,7103293066329066242,original sound - asylan_o1 (Contains music from: Әппағым (2022) - QARAKESEK),"Contains music from: ""Әппағым (2022)""",6.968530772315932e+18,Саған күлген жарасад😁❤️,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103292986192481026.mp3,,False,False,QARAKESEK,Әппағым (2022),original sound - asylan_o1 (Contains music from: Әппағым (2022) - QARAKESEK),"Contains music from: ""Әппағым (2022)""",[],0,0,Kyrgyzstan,#❤️ #💍,0,0,0,0,0,0,0,0,0,0
4,KG,7102254473376009474,1653622485,#самыйкрасивый #школа,6693111899096171525,daika___,,0,False,https://www.tiktok.com/@daika__/video/7102254473376009474?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102254473376009474&source=h5_m,360087,189,97,250,10592,7102254459203439362,7102254459203439362,72,7102254459203439362,original sound - daika__,daika___,6.693111899096172e+18,daika___,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102254369231342338.mp3,,False,False,,,,,[],0,0,Kyrgyzstan,#самыйкрасивый #школа,0,0,0,0,0,0,0,0,0,0
5,KG,7103160782136855809,1653833498,😂 #ostorekg #fyp #рекомендации #pov,7096010185650848769,ostore.kg,"Интернет-магазин O!Store

Тебе нужен смартфон — тебе нужен O!Store

0705 007 000",0,False,https://www.tiktok.com/@ostore.kg/video/7103160782136855809?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103160782136855809&source=h5_m,77969,30,16,97,4876,6944615335039437570,6944615335039437570,72,6944615335039437570,original sound - sirenairin,sirenairin,6.802134003739903e+18,sirenairin,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6944615312167897857.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/76e31f7a834f0ab48f78f9dcfe6cbbd0.json,False,False,,,,,[],0,0,Kyrgyzstan,#ostorekg #fyp #рекомендации #pov,0,0,0,1,0,0,0,0,0,1
6,KG,7070821726241836289,1646303975, ,6651065826932047878,RinatUsupbaev,"Предприниматель, спортсмен, байкер, автолюбитель.
Многократный чемпион КР 🇰🇬",0,False,https://www.tiktok.com/@rinat_usupbaev/video/7070821726241836289?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070821726241836289&source=h5_m,590453,369,546,761,11361,7070821718897494785,7070821718897494785,72,7070821718897494785,original sound - rinat_usupbaev (Contains music from: Ameno Amapiano Remix (You Wanna Bamba) - Goya Menor & Nektunez),"Contains music from: ""Ameno Amapiano Remix (You Wanna Bamba)""",6.651065826932048e+18,RinatUsupbaev,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7070821684290784001.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/572c80c39722a24fe74fd13417ce8745.json,False,False,Goya Menor & Nektunez,Ameno Amapiano Remix (You Wanna Bamba),original sound - rinat_usupbaev (Contains music from: Ameno Amapiano Remix (You Wanna Bamba) - Goya Menor & Nektunez),"Contains music from: ""Ameno Amapiano Remix (You Wanna Bamba)""",[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
7,KG,7102043842421034242,1653573440,Жездуху заказывали?😂🤩🔥#жездуха #жездуха🤣,6598051360348192774,Sezime,"ПОДКРЕПИСЬ ПОПКОРНОМ🍿
📍Бишкек
По поводу сотрудничества ⬇️⬇️⬇️",0,False,https://www.tiktok.com/@joldoshbekovas/video/7102043842421034242?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102043842421034242&source=h5_m,521126,220,148,785,29645,7092799522060946177,7092799522060946177,72,7092799522060946177,original sound - appaq.kelin.lia,Appak kelin,7.018076354659878e+18,Appak kelin,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092799503090191106.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5c2320ce2f938937dc67607d0464b1f2.json,False,False,,,,,[],0,0,Kyrgyzstan,#жездуха #жездуха🤣,0,0,0,0,0,0,0,0,0,0
