,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bissautiktok,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_guinebissautiktok,hash_tiktok,hash_trending,hash_viral
1,GW,7092022598229380358,1651240188,memusunhu# kontam##,7073521046842835973,poeta lit g,"Músico compositor🇬🇼
liricista Guineense##",0,False,https://www.tiktok.com/@poetalitg/video/7092022598229380358?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092022598229380358&source=h5_m,73268,87,85,1359,3810,7086943870306585349,7086943870306585349,72,7086943870306585349,original sound - jadoh_decz_official,JADOH DECZ,6.809457108937917e+18,JADOH DECZ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086943878917442310.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/04d20db6122664f881220596420a4b9f.json,False,False,,,,,[],0,0,Guinea-Bissau,# ##,0,0,0,0,0,0,0,0,0,0
2,NG,7083124841036926214,1649168517,join the challenge with my favorite pictures that I shot with my iphone7+ #fypシ #viral #creativemobilephotography,6917905549670827010,OG FRESH,"ᴍᴏʙɪʟᴇ ᴘʜᴏᴛᴏɢʀᴀᴘʜᴇʀ
🇳🇬 
NFT creator check out my collections⬇️🥺🙏❤️",0,False,https://www.tiktok.com/@fresh.main/video/7083124841036926214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083124841036926214&source=h5_m,892936,459,247,5416,74933,7081205964560501510,7081205964560501510,10036,7081205964560501510,Kwaku the Traveller,Black Sherif,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0a5dd74d2a6b484fa2bc480d6312f92d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c59526bb39c941fab5656a50a2f49593,False,True,,,,,[],0,0,Guinea-Bissau,#fypシ #viral #creativemobilephotography,0,0,0,0,0,1,0,0,0,1
3,NG,7095715860333071622,1652100094,I came for my money 😂@greatvado @blaqboi__vic #buga @artistoracts #michaelsamsonss #fyp #viral,6642807891874545669,michael_samson❤,"Dm on IG for promotion/ad
Actor/model
My Instagram will leave u speechless.",0,False,https://www.tiktok.com/@michaelsamsonss/video/7095715860333071622?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095715860333071622&source=h5_m,54101,187,52,349,5874,7091561281357875202,7091561281357875202,10033,7091561281357875202,Buga (Lo Lo Lo),Kizz Daniel & Tekno,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0842b35245034d23bcb9fecca5fcf51b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e0874051643b4450bff6b0552ebfd7ad,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1621384034', 'external_song_key': 'apple_song_id'}]",0,0,Guinea-Bissau,#buga #michaelsamsonss #fyp #viral,0,0,0,0,1,0,0,0,0,1
4,NG,7095063421720333573,1651948185,U people should remove this sound biko😂😂😂#empresschi3402,7058235663681913861,🦋❤️Chioma🦋❤️,"❤️🦋CHIOMA🦋❤️
🦋Black ❤️Pearl💎
DM (IG) FOR PROMOTIONS",0,False,https://www.tiktok.com/@empresschi3402/video/7095063421720333573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095063421720333573&source=h5_m,561709,435,223,2828,37798,6585869922914536198,6585869922914536198,72,6585869922914536198,Girls Like You (remix),B H A K T A A Y Y Y🌸,2.2217878024772403e+17,B H A K T A A Y Y Y🌸,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1607878398996485.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8c920897d7af895c745db9163d76dcad.json,False,False,,,,,[],0,0,Guinea-Bissau,#empresschi3402,0,0,0,0,0,0,0,0,0,0
5,BR,7091763438782926086,1651179848,Não sabia? Então agora você tá sabendo! Dia 02 de maio estreia o Power Couple Brasil 6!Ansiosos para acompanhar a #FamiliaPassa? 😍🧩  #powercouple #br #fy #fyp,6781221418896098310,MICHELE PASSA,"✨Te ajudo a se vestir melhor✨
✨Consultora de imagem✨stories de dicas✨",0,False,https://www.tiktok.com/@michelepassa/video/7091763438782926086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091763438782926086&source=h5_m,120926,24,8,28,2873,7091763408470690566,7091763408470690566,72,7091763408470690566,original sound - michelepassa,MICHELE PASSA,6.781221418896098e+18,MICHELE PASSA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091763436257807110.mp3,,False,False,,,,,[],0,0,Guinea-Bissau,#FamiliaPassa? #powercouple #br #fy #fyp,0,0,0,1,1,0,0,0,0,0
6,GB,7079081481045347589,1648227098,#duet with @syman303,6813691433686959109,Susi_K,,0,False,https://www.tiktok.com/@sunamk/video/7079081481045347589?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079081481045347589&source=h5_m,3306631,698,1567,4193,66066,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Guinea-Bissau,#duet,0,0,0,0,0,0,0,0,0,0
0,GW,7076241109554302213,1647565773, ,6966321334443901957,Rasta Devano,🇬🇼celebridade el negrito🇬🇼Rasta Devano ami simples ngosta d fasi amizade🇬🇼,0,False,https://www.tiktok.com/@rastadevano/video/7076241109554302213?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076241109554302213&source=h5_m,78576,105,115,3948,2900,7076241077195623173,7076241077195623173,72,7076241077195623173,original sound - rastadevano,Rasta Devano,6.966321334443902e+18,Rasta Devano,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076241052381825798.mp3,,False,False,,,,,[],0,0,Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0
1,GW,7079053005735218438,1648220469,Bo misti papia na nha vida??!! Bu bai inda faci passaporte di Madagáscar #titapipoka #guinebissautiktok🇬🇼 #fypシ゚viral #fyp,6989289394582619142,Tita Pipoka,,0,False,https://www.tiktok.com/@titapipoka/video/7079053005735218438?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079053005735218438&source=h5_m,89557,203,78,886,4218,7079052992976014085,7079052992976014085,72,7079052992976014085,original sound - titapipoka,Tita Pipoka,6.989289394582619e+18,Tita Pipoka,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079052980569361157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bdd255952bb17807553e2b65ffef485d.json,False,False,,,,,[],0,0,Guinea-Bissau,#titapipoka #guinebissautiktok🇬🇼 #fypシ゚viral #fyp,0,0,0,0,1,1,1,0,0,1
2,NG,7100473253411474690,1653207762,W*CKED MEMBER😩 Please post on your story 🙏CC/: @laffcrack_comedy Tag @mufasatundeednut HAPPY SUNDAY 🤗😂,6893821473704018945,JOHN UDEME OKON,"GOD FIRST🙏🏻
INSTAGRAM follow:👉 @mc_edidiong
MANAGEMENT:@LAFFCRACK_COMEDY",0,False,https://www.tiktok.com/@mc_edidiong/video/7100473253411474690?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100473253411474690&source=h5_m,631215,183,2620,13881,23839,7100473267202394881,7100473267202394881,72,7100473267202394881,original sound - mc_edidiong,JOHN UDEME OKON,6.893821473704019e+18,JOHN UDEME OKON,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100473197111364354.mp3,,False,False,,,,,[],0,0,Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0
3,GB,7101988431298891054,1653560557, ,6932032624324264965,user7516037489164,Follow me,0,False,https://www.tiktok.com/@keai80/video/7101988431298891054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101988431298891054&source=h5_m,362778,833,169,520,11961,7101988322297350954,7101988322297350954,72,7101988322297350954,original sound - keai80,user7516037489164,6.932032624324265e+18,user7516037489164,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7101988415587109674.mp3,,False,False,,,,,[],0,0,Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0
