,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_kuwait,hash_tiktok,hash_viral,hash_اكسبلور,hash_الشعب_الصيني_ماله_حل
4,SA,7086522674230463746,1649959637,Reply to @aaooa15 اللي يتابعون لايفاتي تذكرتو شي ؟ 😂😂😂,6805199042776204293,Mayaro | ميَّارو 💘,اليمن❤️‍🔥 Snapchat 👇🏻,0,False,https://www.tiktok.com/@xmamx8/video/7086522674230463746?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086522674230463746&source=h5_m,5827421,7875,1902,5685,284493,6769791894420457474,6769791894420457474,10033,6769791894420457474,The Time Is Now (John Cena),WWE & John Cena & Tha Trademarc,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/856b228aa8dc4eed883bb2805698713b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3a08b54ab2064ad8a9b877c023916a89,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '445878844', 'external_song_key': 'apple_song_id'}]",0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
5,KW,7075716691380030722,1647443673, ,6805979719851361286,Lulu_elmulla,"Energetic af 🥳
Business inquiries:55225017",0,False,https://www.tiktok.com/@lulu_elmulla/video/7075716691380030722?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075716691380030722&source=h5_m,12957657,5410,9619,21102,614115,6919574174990207746,6919574174990207746,72,6919574174990207746,original sound - laraaljawad,lara jawad,2.574219701816238e+17,lara jawad,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6919574144174541569.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/dfaf370ab22b2012458c26d074f16c90.json,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
6,SA,7098810642706042113,1652820653,#fyp #explore #fypシ #foryou  بالعافيه حياتي🥺,7011071705239356421,shahadbas17,Riyadh,0,False,https://www.tiktok.com/@shahadbas17/video/7098810642706042113?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098810642706042113&source=h5_m,1065025,768,792,19,65791,6886091493937810178,6886091493937810178,72,6886091493937810178,original sound - 3ses0,🤌,6.826744423952696e+18,🤌,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6967619476690848514.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d69d536141a8a40991faa6cd35ee7812.json,False,False,,,,,[],0,0,Kuwait,#fyp #explore #fypシ #foryou,1,0,0,1,1,0,0,0,0,0
7,QA,7100650301769665798,1653248981,#qatar #qatar2022 #Love #london #girls #beauty #trending #ترند #لندن #جمال #مشاهير #famous #بنات,6797869911214965765,Afnanih,Influencer 🇶🇦/🇬🇧,0,False,https://www.tiktok.com/@afnanih/video/7100650301769665798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100650301769665798&source=h5_m,164885,144,211,275,3643,6955089783299361538,6955089783299361538,72,6955089783299361538,Omg so much people used my sound,Layla <3,6.59318651510222e+18,Layla <3,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6955089735433898754.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3f4da5c9b4ac66ae46dfda7f66ea9024.json,False,False,,,,,[],0,0,Kuwait,#qatar #qatar2022 #Love #london #girls #beauty #trending #ترند #لندن #جمال #مشاهير #famous #بنات,0,0,0,0,0,0,0,0,0,0
0,CO,7097757368825515270,1652575419,La tocó y lo besó ! 😱 @lauferramirezz0 #fyp #viral #parati #foryoupage #foryou,6892632877558268934,turi19,Sígueme en Instagram: turii19 💎,0,False,https://www.tiktok.com/@turi19_/video/7097757368825515270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097757368825515270&source=h5_m,16532315,524,3762,27940,277447,7097757349549198085,7097757349549198085,72,7097757349549198085,original sound - turi19_ (Contains music from: Spongebob Tomfoolery - Dante9k Remix - David Snell),"Contains music from: ""Spongebob Tomfoolery - Dante9k Remix""",6.892632877558269e+18,turi19,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097757348223060742.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f4435d1f3b8fd305886b4df294ef3f1a.json,False,False,David Snell,Spongebob Tomfoolery - Dante9k Remix,original sound - turi19_ (Contains music from: Spongebob Tomfoolery - Dante9k Remix - David Snell),"Contains music from: ""Spongebob Tomfoolery - Dante9k Remix""",[],0,0,Kuwait,#fyp #viral #parati #foryoupage #foryou,1,1,0,1,0,0,0,1,0,0
1,IT,7093953841875537158,1651689840, ,6999353260256543750,max,😘😘😘😘long videos.,0,False,https://www.tiktok.com/@k2309527/video/7093953841875537158?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093953841875537158&source=h5_m,32701438,2808,91846,2519,613300,7093953827975596805,7093953827975596805,72,7093953827975596805,original sound - k2309527,max,6.999353260256544e+18,max,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093953829762370309.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e3dacda4f82e7228fe4f62cac873e99a.json,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
2,US,7088673274862898434,1650460363,😂😂😂,7043629618016617474,sunflower,Remember to follow me.,0,False,https://www.tiktok.com/@sunflower.0806/video/7088673274862898434?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088673274862898434&source=h5_m,22268175,102,1042,1920,170190,7088673276159871746,7088673276159871746,72,7088673276159871746,original sound - sunflower.0806,sunflower,7.043629618016617e+18,sunflower,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7088673279531092738.mp3,,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
3,SA,7102895040313199877,1653771626,#fypシ #كيرلي,6946948193713439749,كل ما يخص العناية بالشعر,"الحمدلله
🛑 للعناية بجميع انواع الشعر من الصفر🛑
تواصل + تلخيص انستا
للاعلانات📥",0,False,https://www.tiktok.com/@curltastique/video/7102895040313199877?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102895040313199877&source=h5_m,3619745,975,3653,18428,173809,7082463782336858886,7082463782336858886,72,7082463782336858886,original sound - lanascinnamongirls,<3,1.634818430136238e+17,<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082463806730930950.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/440961b3551c85b095764ade8342fe67.json,False,False,,,,,[],0,0,Kuwait,#fypシ #كيرلي,0,0,0,0,1,0,0,0,0,0
4,DZ,7101255748272803077,1653389950,#la_nass23,6950964246596174854,Thé Queen 👑,❤️‍🔥❤️‍🩹👑🥺💞,0,False,https://www.tiktok.com/@el_majnouna27/video/7101255748272803077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101255748272803077&source=h5_m,8343193,0,1049,1438,74687,6880570849863158530,6880570849863158530,72,6880570849863158530,original sound - policejordan911 (Contains music from: موطني - مراد السويطي),"Contains music from: ""موطني""",6.824591763225003e+18,Police _jordan911_,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6880570805034470145.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/157a574cf624e2997ba495c1deeff6d9.json,False,False,مراد السويطي,موطني,original sound - policejordan911 (Contains music from: موطني - مراد السويطي),"Contains music from: ""موطني""",[],0,0,Kuwait,#la_nass23,0,0,0,0,0,0,0,0,0,0
5,SA,7102481664151915778,1653675378,😭😭@امال المرزوقي #viral #foryou #dancewithpubg #مالي_خلق_احط_هاشتاقات #هشتاق_للرخوم #امال_المرزوقي,7089902301473932290,lioxe90,🇸🇦,0,False,https://www.tiktok.com/@lioxe90/video/7102481664151915778?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102481664151915778&source=h5_m,3772151,1715,2196,4653,159566,7102481647241169666,7102481647241169666,72,7102481647241169666,original sound - lioxe90,lioxe90,7.089902301473932e+18,lioxe90,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102481650595941121.mp3,,False,False,,,,,[],0,0,Kuwait,#viral #foryou #dancewithpubg #مالي_خلق_احط_هاشتاقات #هشتاق_للرخوم #امال_المرزوقي,1,0,0,0,0,0,0,1,0,0
