,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_duet,hash_ethiopia,hash_ethiopian_tik_tok,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_habesha,hash_habeshatiktok,hash_viral
4,ET,7096769581661949189,1652345436,ወይ university😭😭#etiopian_tik_tok #university #hawassauniversty #hawasa #etiopianmusic #etiopianmusic #etiopiantik #ኢትዮጵያ #ሀበሻ #habesha🇪🇹 #etiopianti #fyp #habeshagirl #foryoupage #etiopianmusic,6894625048566498310,ሚያው😸😻😾,"Live a life you will remember 💪✌
           20k",0,False,https://www.tiktok.com/@redu916/video/7096769581661949189?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096769581661949189&source=h5_m,291386,423,556,196,23066,7097158693925538566,7097158693925538566,72,7097158693925538566,original sound - redu916,ሚያው😸😻😾,6.894625048566498e+18,ሚያው😸😻😾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097158734018775814.mp3,,False,False,[],0,0,,,,,Ethiopia,#etiopian_tik_tok #university #hawassauniversty #hawasa #etiopianmusic #etiopianmusic #etiopiantik #ኢትዮጵያ #ሀበሻ #habesha🇪🇹 #etiopianti #fyp #habeshagirl #foryoupage #etiopianmusic,0,0,0,0,1,1,0,1,0,0
5,ET,7100427870228499717,1653197197,#ethiopian🇪🇹🇪🇹🇪🇹_tik_tok_ሀበሻ_            #በድብቅ የተቀረጸ  part 2 yketlal,6914294566476645381,xxt hot chanal,natitub,0,False,https://www.tiktok.com/@natitub5/video/7100427870228499717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100427870228499717&source=h5_m,407918,341,774,1653,8135,7100427809625017094,7100427809625017094,24,7100427809625017094,original sound - natitub5,xxt hot chanal,6.914294566476645e+18,xxt hot chanal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100427799659432710.mp3,,False,False,[],0,0,,,,,Ethiopia,#ethiopian🇪🇹🇪🇹🇪🇹_tik_tok_ሀበሻ_ #በድብቅ,0,0,0,0,0,0,0,0,0,0
6,ET,7086382736939732230,1649927057, ,6809176809143337989,user3946169455836,samrawit_nura_konjo instagram  follow me😎,0,False,https://www.tiktok.com/@samri92/video/7086382736939732230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086382736939732230&source=h5_m,1153275,197,980,812,22756,7075063899204209414,7075063899204209414,72,7075063899204209414,original sound - amanu0901,AR,6.820781964737922e+18,AR,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075063893755808517.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a3ab60ce6edde74bc21eda064d8bca44.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
7,ET,7101642565522394374,1653480012,🤷‍♂️🤷‍♂️#matiyas #ማትያስ,6810304471782147078,💉ማ_ት_ያ_ስ👅,"📺 hay! check out my YouTube ☝️
📩 Instagram👇👇 DM me for paid promotion💰",0,False,https://www.tiktok.com/@_.matiyas_/video/7101642565522394374?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101642565522394374&source=h5_m,185453,234,103,1374,18638,7101642548531186438,7101642548531186438,72,7101642548531186438,original sound - _.matiyas_,💉ማ_ት_ያ_ስ👅,6.810304471782147e+18,💉ማ_ት_ያ_ስ👅,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101642542562773766.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd6e5892ba3c7fa39761d2fbc94286b3.json,False,False,[],0,0,,,,,Ethiopia,#matiyas #ማትያስ,0,0,0,0,0,0,0,0,0,0
0,ET,7074162640410529029,1647081843,🔴PART 9 ልዩነቱን አጣጥሙት  🥰😂@elsuti1 @nebret_pm #remukhan #dagisak #habeshatiktok #ethiopian_tik_tok 📌ወሰን መሪ ሎቄ ሰንሻይን ጊቢ ውስጥ(VALI COLORADO guest house),6888932650939483141,remu khan,"ወደ instagram ለመሄድ ከፈለጉ ይግቡ  👆👆👆
እንችላለን 🥰🥰🥰",0,False,https://m.tiktok.com/v/7074162640410529029.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074162640410529029&source=h5_m,767740,565,786,2247,48149,7074162614003190534,7074162614003190534,72,7074162614003190534,original sound - remukhan4,remu khan,6.888932650939483e+18,remu khan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074162611012619013.mp3,,False,False,[],0,0,,,,,Ethiopia,#remukhan #dagisak #habeshatiktok #ethiopian_tik_tok,0,0,1,0,0,0,0,0,1,0
1,ET,7093503430110612741,1651584972,#ማርያም_እንወድሻለን #እናቴ #ኦርቶዶክስ #tewahdo #fypシ゚viral #mezmur #viral #ethiopia,6823279932564571141,Feven Aklilu,"ኦርቶዶክስ🙏
ፍቅርን ከክርስቶስ ትህትናን ከማሪያም",0,False,https://m.tiktok.com/v/7093503430110612741.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093503430110612741&source=h5_m,587821,455,884,9734,57505,7076001817414470405,7076001817414470405,72,7076001817414470405,original sound - meriyesuf,meriyesuf,7.017148993241335e+18,meriyesuf,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076001833155595013.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/905e13f0d6c3bd99283579589eba09a9.json,False,False,[],0,0,,,,,Ethiopia,#ማርያም_እንወድሻለን #እናቴ #ኦርቶዶክስ #tewahdo #fypシ゚viral #mezmur #viral #ethiopia,0,1,0,0,0,0,1,0,0,2
2,US,7092914931070192939,1651447950,#duet with @mesay_mesicho,6813470108453192710,Yonas M Muluneh,,0,False,https://m.tiktok.com/v/7092914931070192939.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092914931070192939&source=h5_m,584008,239,465,2348,19932,7092639152474278657,7092639152474278657,72,7092639152474278657,original sound - mesay_mesicho (Contains music from: Funny baby laughing sound - Bytes),"Contains music from: ""Funny baby laughing sound""",6.806908270617216e+18,መሳይ መሲቾ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092639166151854850.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/28946d1006215f7949a511b3e5dfcbc4.json,False,False,[],0,0,Bytes,Funny baby laughing sound,original sound - mesay_mesicho (Contains music from: Funny baby laughing sound - Bytes),"Contains music from: ""Funny baby laughing sound""",Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
3,SE,7079873249965903110,1648411447, ,6932128948454573062,ሙኩሕ ኤርትራዊ ጸረ ኣዉራጃዉያን 🇪🇷🔑🙏,,0,False,https://m.tiktok.com/v/7079873249965903110.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079873249965903110&source=h5_m,920622,1990,1402,168,28785,6780105155212740610,6780105155212740610,10033,6780105155212740610,Laughing,Gianluca Marino,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8737cfed1275419995af77c0f6f22195,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3138c37d97094ba99dff97a80603d76f,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1390061916', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
4,ET,7093479141177167110,1651579317,ቡላ ተመስገን እየሱስ ኦሮሞ ነዉ,6853503350123840517,zedo fike,"💑💑💑
subscirbe my channal",0,False,https://m.tiktok.com/v/7093479141177167110.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093479141177167110&source=h5_m,520511,1716,3860,16510,6323,7093479149578259206,7093479149578259206,72,7093479149578259206,original sound - zedfike143,zedo fike,6.853503350123841e+18,zedo fike,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093479140015360774.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
5,ET,7080385943567371525,1648530819,#የእናንተገፅ #fyp #foryoupage #tigray_ትግራይ #tigraymusic,6956619013595530245,Yoldi,"50,000🤪🤪",0,False,https://m.tiktok.com/v/7080385943567371525.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080385943567371525&source=h5_m,705214,107,298,251,26923,6820490471757138694,6820490471757138694,72,6820490471757138694,original sound - meripog4,Zeriga,6.702667532598625e+18,Zeriga,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/cf9aeb952c8d706a61b0a063231c646e.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ab89e125e7adce6f0c47d10e6f08a557.json,False,False,[],0,0,,,,,Ethiopia,#የእናንተገፅ #fyp #foryoupage #tigray_ትግራይ #tigraymusic,0,0,0,0,1,1,0,0,0,0
